pair,fund_1,fund_2,alpha_quarterly,alpha_annualized,t_alpha,p_alpha,r2,n_obs,beta_equity,beta_duration,beta_credit,beta_real_estate,beta_fx,p_alpha_holm
BPF Foodservice minus Pensioenkring Ballast Nedam (Stap),BPF Foodservice,Pensioenkring Ballast Nedam (Stap),0.008070710394924196,0.03267576680710915,3.101864567970524,0.0019230591615220004,0.7970915346885497,24,-0.1649769385891126,0.25210906950159406,0.2556458915410321,0.02807216517234808,0.29881193479412427,1.0
BPF Foodservice minus Pensioenkring 2 (Stap),BPF Foodservice,Pensioenkring 2 (Stap),0.00896841752001429,0.036359157035753986,2.289235770133071,0.022065657319845243,0.4310935139290246,27,-0.07716145967062592,0.20969548850530392,-0.061699238473611445,0.009364455167755187,0.2592055172099948,1.0
BPF Foodservice minus Particuliere Beveiliging,BPF Foodservice,Particuliere Beveiliging,0.0023491840642186866,0.009429900139382719,0.7777569359784193,0.43671231976722014,0.5234366236925521,40,-0.2047679951791873,0.167825839626679,-0.023797786475801642,0.09366576622397,0.22848400897159094,1.0
BPF Foodservice minus PGB,BPF Foodservice,PGB,0.005875933517602329,0.02371170633461528,2.0472962716351004,0.040629003758126746,0.7492752664201281,40,-0.19755516663080602,0.3521029099477606,0.18420841300857677,-0.04284139187855203,0.3122864260804765,1.0
BPF Foodservice minus PDN,BPF Foodservice,PDN,0.004214749167082646,0.016965881132223526,1.7540571376986682,0.0794207171146137,0.8617462163208597,40,-0.13635469838817063,0.4137484236846687,0.5869420120551215,-0.060211541106955,0.21658621866335986,1.0
BPF Foodservice minus Sportfondsen,BPF Foodservice,Sportfondsen,0.007240682702997334,0.029278816919828143,1.946584826445487,0.0515845291913311,0.8751947816703673,40,-0.33028921730247157,0.6039324839163918,-0.07674499558799242,0.050346417945817123,0.5997826923446102,1.0
BPF Foodservice minus Smurfit Kappa Nederland,BPF Foodservice,Smurfit Kappa Nederland,0.006005994684773396,0.024241278465494398,3.315884991928145,0.0009135341526973038,0.8787110816534072,40,-0.20864236760643695,0.34733192159253423,0.18356857224075884,-0.0033835448554366473,0.23759786464614888,1.0
BPF Foodservice minus Shell,BPF Foodservice,Shell,0.005988682210004171,0.02417077513387178,1.2679296402988043,0.2048230780405882,0.6960333625129576,40,-0.1270115719858541,0.46079367629406753,0.41000621327696574,-0.029532793039322172,0.29687530191765554,1.0
BPF Foodservice minus Schoonmaak- en Glazenwassersbedrijf,BPF Foodservice,Schoonmaak- en Glazenwassersbedrijf,0.004141233432253768,0.01666811699471138,1.6218897795109906,0.10482695030840981,0.647632638168191,40,-0.1216950107106511,0.1530796521309571,0.5101362142581887,-0.016343810138877618,0.2121050390827903,1.0
"BPF Foodservice minus Schilders-, Afwerkings- en Glaszetbedrijf",BPF Foodservice,"Schilders-, Afwerkings- en Glaszetbedrijf",0.0061236762626315925,0.024720621459560332,2.1379324442829257,0.03252222655898539,0.7473070772734077,39,-0.26484365218206213,0.30386874044914947,0.5157390061088066,-0.08188615639454622,0.21011206870129762,1.0
BPF Foodservice minus Samenwerking / Slagersbedrijf,BPF Foodservice,Samenwerking / Slagersbedrijf,0.0015878602294180431,0.006366584738567216,0.6233771021834851,0.5330367414442481,0.7178187713002462,40,-0.08157235239567309,0.21857025050617113,0.5549237044372007,-0.02905818778815471,0.11621226086092683,1.0
BPF Foodservice minus Sagittarius,BPF Foodservice,Sagittarius,0.0064335599990452885,0.025983651032998267,1.6643824506780722,0.09603602485025305,0.7192193442294276,40,-0.20458642583624906,0.47125060792033124,0.35714295050530726,-0.013830288514488503,0.3020849107169958,1.0
BPF Foodservice minus SNS Reaal Groep,BPF Foodservice,SNS Reaal Groep,0.004909542927409286,0.019783267312024178,1.8136501070032962,0.06973161093965158,0.36200621519986054,39,-0.03846228446087391,0.0597277235199301,0.16776478141223455,0.04059267803304012,0.12253169718809538,1.0
BPF Foodservice minus SABIC,BPF Foodservice,SABIC,0.005159126859893071,0.020796756961211083,2.246809051905947,0.024652233021146778,0.7797570863293997,40,-0.1806020129564211,0.28505449400058436,0.5867739279062556,-0.0594536132401592,0.24469603826835776,1.0
BPF Foodservice minus Roeiers in het Rotterdamse havengebied,BPF Foodservice,Roeiers in het Rotterdamse havengebied,0.0015888344219808967,0.006370500106601007,0.4793452149452012,0.631693060946634,0.8458362721482647,40,-0.11547020199196083,0.4641877145636654,0.1620940743252642,0.04283974507168828,0.2533238666185069,1.0
BPF Foodservice minus Rockwool,BPF Foodservice,Rockwool,0.004040363378301052,0.01625966482530039,1.337626916922133,0.18101808548554288,0.4794431855396911,40,-0.10526528365689405,0.08605747643939984,0.3553495569480525,0.023393596208714375,0.2078378377059502,1.0
BPF Foodservice minus Robeco,BPF Foodservice,Robeco,0.003343091592336379,0.013439573515685144,2.226825188841532,0.02595895924811559,0.8653539366609116,40,-0.15854533058783565,0.27239608109941804,0.18403850828379237,-0.024970963558004905,0.2212206660601478,1.0
BPF Foodservice minus Rijn- en Binnenvaart,BPF Foodservice,Rijn- en Binnenvaart,0.003268853770727866,0.013139667343041506,1.9465985511209405,0.05158288245658295,0.7406875584830676,40,-0.17758982006686513,0.1692385411825187,0.3512711012683034,-0.03825622168149695,0.21157562792673879,1.0
BPF Foodservice minus Recreatie (SPR),BPF Foodservice,Recreatie (SPR),0.001784275295470627,0.007156225743947253,1.1502454966136901,0.25004277223397064,0.477209586357652,40,-0.07042199890321649,-0.1845662472852468,0.2861038005234127,0.034735140071330425,0.13384507490338035,1.0
