fund,risk_exposure_profile,duration_profile,alpha_interpretation,broad_risky_beta,interest_rate_beta,currency_beta,beta_equity,beta_credit,beta_real_estate,beta_duration,beta_fx,loading_share_equity,loading_share_credit,loading_share_real_estate,loading_share_duration,loading_share_fx_abs,alpha_annualized,p_alpha_holm,r2,n_obs,largest_average_factor_contribution,avg_annualized_simple_contribution_equity,avg_annualized_simple_contribution_duration,avg_annualized_simple_contribution_credit,avg_annualized_simple_contribution_real_estate,avg_annualized_simple_contribution_fx
KPN,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7802418863205771,0.3066578586389628,-0.04448945925489678,0.33720194791354896,0.3943704714891483,0.04866946691787985,0.3066578586389628,-0.04448945925489678,0.298042394834128,0.348571888453694,0.0430174397427389,0.2710454169941334,0.03932285997530565,-0.009376233323468264,1.0,0.9357079530599903,40,equity (positief),0.04022434098121959,0.0007085099200699258,0.002673937710044514,0.0016628716665343167,-0.000542617592157332
Architectenbureaus,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7708421097788913,0.41883233540998777,-0.11419692508381003,0.26453365850569827,0.5217808538537605,-0.01547240258056749,0.41883233540998777,-0.11419692508381003,0.20050396564468484,0.3954851378313174,0.0,0.3174550439603827,0.08655585256361499,0.007828688552769858,1.0,0.9559940758570658,40,equity (positief),0.031555844047113105,0.0009676806125271993,0.003537814320201169,-0.0005286398535626065,-0.0013928076798085146
Alliance,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7661768086500752,0.43074603178889526,-0.15984404792916185,0.3959946373424434,0.32437423290229583,0.04580793840533597,0.43074603178889526,-0.15984404792916185,0.2918663778850991,0.2390788245816058,0.033762571004686014,0.3174797641966191,0.11781246233198998,-0.019002368440655504,1.0,0.9445808181872195,40,equity (positief),0.0472376373201752,0.000995206312036811,0.0021993444140203013,0.0015651028807262023,-0.0019495447654481546
Medische Specialisten,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.7609625281841204,0.5848136195718762,-0.007874061756092926,0.23149223079881842,0.5023546422684937,0.0271156551168083,0.5848136195718762,-0.007874061756092926,0.171013330602045,0.37111111773074873,0.020031508085520768,0.43202713334833137,0.005816910233354197,0.0027482190335830214,1.0,0.9434406053908733,40,equity (positief),0.02761437910952444,0.0013511678869006123,0.0034060993884898636,0.0009264505544993342,-9.603633090053814e-05
Atos Origin,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7596151162374682,0.16639592076267284,-0.016845346139724937,0.19493092730312234,0.49780486138369,0.0668793275506559,0.16639592076267284,-0.016845346139724937,0.20674508948432896,0.5279752784044569,0.07093267728425065,0.1764806642222087,0.01786629060475486,-0.004645992205741578,1.0,0.9257672570299539,40,equity (positief),0.02325303319314267,0.00038444526105662957,0.0033752506521877315,0.002285041236397792,-0.00020545498449474377
Groothandel,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.7594709793699012,0.7071609891699802,0.04994302164758588,0.16896853727329844,0.5985154399699297,-0.008012997873326946,0.7071609891699802,0.04994302164758588,0.11082898369691255,0.3925752036989442,0.0,0.46383743982494346,0.032758372779199914,0.010249657849648486,1.0,0.9251613549658435,40,equity (positief),0.020156016596089107,0.0016338422831787599,0.004058095422145509,-0.00027377713320833646,0.0006091321990723403
BPF Foodservice,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.7571909933017802,0.6613642551219163,0.1545885652867667,0.11725309866196582,0.6136271270218436,0.026310767617970847,0.6613642551219163,0.1545885652867667,0.0745342527746457,0.3900642278689859,0.01672496016490285,0.4204092781333216,0.09826728105814406,0.013692878982229928,1.0,0.9354717031065928,40,equity (positief),0.013986955445739838,0.00152803237332069,0.004160556718798689,0.0008989502611671142,0.001885446046677433
Robeco,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7566696541773261,0.3889678241897715,-0.06663227678149364,0.275798309725411,0.42958967005759596,0.051281674394319174,0.3889678241897715,-0.06663227678149364,0.22750572515240686,0.354368050702494,0.042302197325737485,0.3208591343121438,0.054964892507217866,0.0002507962307407574,1.0,0.9254057282205338,40,equity (positief),0.03289958827664645,0.0008986809053242794,0.0029127333349149966,0.0017521219927605996,-0.0008126834129402336
Cosun,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7557678104522649,0.3379456808813976,-0.024052314348240372,0.1496358638246905,0.5564224520089766,0.049709494618597874,0.3379456808813976,-0.024052314348240372,0.13387049690020159,0.49779877786610777,0.044472191192386816,0.30234032850488823,0.021518205536415605,-0.005991869163369801,1.0,0.9422118133829128,40,equity (positief),0.017849849464828208,0.0007807980803490604,0.003772693659147796,0.001698405908132913,-0.0002933550804175473
Woningcorporaties,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7492961937095964,0.3176231093868963,0.0053758977414207765,0.2753813215790534,0.4014043645569163,0.0725105075736268,0.3176231093868963,0.0053758977414207765,0.2568148410660281,0.37434128609663714,0.06762177758229787,0.29620864584556483,0.005013449409472261,-0.008921145237427819,1.0,0.9437041786082331,40,equity (positief),0.03284984635348141,0.0007338443072773698,0.0027216293940879608,0.002477439680480859,6.556736667489866e-05
Zorg en Welzijn,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7475284257720459,0.284726640985464,-0.05447933605020225,0.2771730318757305,0.39343556102991745,0.07691983286639793,0.284726640985464,-0.05447933605020225,0.255051308911929,0.36203469772690383,0.07078071023395051,0.2620020496727054,0.05013123345451122,-0.006782736733423,1.0,0.9427763216730427,40,equity (positief),0.033063576927575195,0.0006578394910266888,0.0026675987660484974,0.002628091466132298,-0.0006644595516551972
HaskoningDHV,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7473773566339441,0.22211462001958715,-0.17288357898230017,0.3855920122077802,0.2927037945870476,0.06908154983911631,0.22211462001958715,-0.17288357898230017,0.33753524425963816,0.2562237901038879,0.060471838265715,0.1944322240823518,0.1513369032884071,-0.013374059193105192,1.0,0.9554033644797273,26,equity (positief),0.045996722956822306,0.0005131791253447589,0.001984610336732491,0.002360283750417313,-0.0021085819635039142
Beroepsvervoer over de Weg,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.747036992550772,0.6379858655730353,-0.014553700805782221,0.22754920411306598,0.5199063841767148,-0.00041859573900866753,0.6379858655730353,-0.014553700805782221,0.1625357083231696,0.37136298825247377,0.0,0.4557057668703554,0.010395536554001376,0.0023679619249672434,1.0,0.9372505259986221,40,equity (positief),0.027144021061811095,0.0014740183624482592,0.0035251049123774508,-1.4302005717547507e-05,-0.00017750483418929326
KLM Algemeen,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7464049726138279,0.15628106432104147,-0.07339978050896973,0.30680427755191375,0.36412582753860623,0.07547486752330786,0.15628106432104147,-0.07339978050896973,0.31432100750666453,0.3730469401677961,0.07732400796577545,0.1601099632103131,0.07519808114945069,-0.002294643507029903,1.0,0.9421472232935935,40,equity (positief),0.03659824609882998,0.0003610756459396848,0.0024688709014651367,0.0025787218699498955,-0.0008952235615286807
"Mode-, Interieur-, Tapijt- en Textielindustrie",gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7437598666085363,0.25369530271512797,0.0643598855147425,0.1661597986060259,0.5056881240192332,0.07191194398327716,0.25369530271512797,0.0643598855147425,0.1564865725428173,0.4762487795920277,0.06772548915707466,0.2389260743282047,0.06061308437987552,0.00352036881792106,1.0,0.9547865042280513,40,equity (positief),0.019820966153532137,0.0005861439176761184,0.0034287012900100005,0.0024569887797818457,0.000784968095688583
Kring Forward (Unilever),gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.738011450590641,0.3571699819840515,0.0899300269891081,0.2459435077432471,0.451159165371188,0.04090877747620586,0.3571699819840515,0.0899300269891081,0.20752774412777225,0.3806892269333421,0.03451892827976113,0.30138091999845623,0.07588318066066824,0.0033373509659593292,1.0,0.9181029526461079,29,equity (positief),0.02933825139147154,0.0008252143822762106,0.0030589803059112245,0.0013977150621460582,0.0010968354195517167
PostNL,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7314051613066898,0.22673798203406853,-0.022224968099138515,0.2111835105808907,0.45117740906658227,0.06904424165921688,0.22673798203406853,-0.022224968099138515,0.21541246406996956,0.4602122445658948,0.07042685380475042,0.2312784140857575,0.022670023473627694,0.0035224862300671234,1.0,0.9471479673350164,40,equity (positief),0.025191780746754752,0.0005238610555776022,0.0030591040030655808,0.0023590090556402077,-0.000271067773753638
Zoetwarenindustrie,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7298598690851275,0.4765265568367675,-0.03064937851456262,0.2693438189138788,0.42860979142060723,0.03190625875064131,0.4765265568367675,-0.03064937851456262,0.2177332442180853,0.3464813143511753,0.025792510318791047,0.38521646271496024,0.02477646839698808,-0.0011019319217465684,1.0,0.9458329430414466,40,equity (positief),0.03212964124380849,0.0011009787722189419,0.0029060894945969894,0.0010901293361416024,-0.0003738164556104407
Loodsen,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.729480426341839,0.2515316179283399,-0.11137185280394214,0.2920740160970434,0.40715131041546443,0.030255099829331018,0.2515316179283399,-0.11137185280394214,0.26737305161614394,0.3727181547677448,0.027696398592442936,0.2302593608364705,0.10195303418719771,-0.007810161195557885,1.0,0.9594296808025351,40,equity (positief),0.03484109415125248,0.0005811448866969431,0.0027605952304263917,0.0010337148002720186,-0.001358351564947923
Kring Eastman (Stap),gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7269683313155126,0.4556585771812877,-0.08055955494873206,0.23560213307519645,0.441887502629716,0.04947869561060012,0.4556585771812877,-0.08055955494873206,0.18651413698066074,0.34981969441344457,0.039169748127002156,0.36072154853402233,0.06377487194487001,-0.008792217774886035,1.0,0.9518554118184585,33,equity (positief),0.028104643509203723,0.001052764874608929,0.002996115942497751,0.0016905202838315156,-0.0009825480566328967
YARA Nederland,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.722234599179979,0.12577064943075023,-0.19351375062844245,0.3175205152443641,0.31217881096316513,0.09253527297244978,0.12577064943075023,-0.19351375062844245,0.3048629122236967,0.2997341490565331,0.08884645699218802,0.1207569420458249,0.1857995396817571,-0.010499121187318994,1.0,0.972099573545121,40,equity (positief),0.03787657085835193,0.00029058362688247623,0.0021166561780329297,0.0031616184298985245,-0.0023601987341255997
Werk en (re)Integratie,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7204297392066519,0.18518585901255452,-0.1835410697303695,0.34231385623266763,0.3205662664369708,0.057549616537013494,0.18518585901255452,-0.1835410697303695,0.31429257728100835,0.294325211303588,0.05283869458868137,0.1700268331104116,0.16851668371631068,-0.006460089103719757,1.0,0.949606775884012,40,equity (positief),0.04083413325722886,0.00042785800027886524,0.0021735253787061987,0.0019662764525608103,-0.0022385665051236217
Kring Arcadis (Hnp),gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7190476092818342,0.3746037691214305,-0.12703946001937091,0.29462135813096285,0.3757620577982676,0.048664193352603746,0.3746037691214305,-0.12703946001937091,0.2413562458711246,0.30782737608141925,0.039866108453379664,0.306878496446725,0.10407177314735157,-0.0047260409730982555,1.0,0.9655660440820945,26,equity (positief),0.03514496296103301,0.0008654938363428448,0.002547767667687467,0.001662691486580958,-0.0015494422062927503
Oak,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.7172221348806803,0.516676793873845,-0.15069990084986407,0.29914776125551656,0.3754137447198334,0.04266062890533025,0.516676793873845,-0.15069990084986407,0.2160537441310634,0.2711353907666508,0.030810822595826796,0.3731599238903525,0.10884011861610658,-0.009299486696867976,1.0,0.9584991850176583,40,equity (positief),0.035684911154769974,0.001193742875379982,0.0025454060114716505,0.0014575699216698719,-0.001838017784594708
Huntsman Rozenburg,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.708796469599202,0.3244461852982682,-0.010000281228099206,0.2741336513870095,0.39822307259553574,0.036439745616656694,0.3244461852982682,-0.010000281228099206,0.26277067583615404,0.3817165291091929,0.034929300122546574,0.31099773031122296,0.009585764620883595,-0.0022936283407779534,1.0,0.9668293724165292,40,equity (positief),0.03270101355003111,0.0007496085110386977,0.0027000593802122366,0.001245023304321331,-0.00012196885760732422
Notariaat,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6987191391501045,0.5425765526307401,-0.034851531347247444,0.21565223522757357,0.47725309807722816,0.005813805845302743,0.5425765526307401,-0.034851531347247444,0.16898695645708242,0.37397965487664137,0.004555748537423403,0.4251676787735951,0.02730996135525756,-0.002013116954294958,1.0,0.9619582745552084,40,equity (positief),0.025724848556865496,0.0012535823201870442,0.0032359041775250875,0.00019863815297582196,-0.0004250681923169862
AHOLD,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6984698280391737,0.5344608020814055,0.02066380298666326,0.19678653602504714,0.47158827404629966,0.03009501796782687,0.5344608020814055,0.02066380298666326,0.15697783176755098,0.3761888706520415,0.02400698118388366,0.42634267348863014,0.016483642907893732,0.002460258823248296,1.0,0.9508244988113499,40,equity (positief),0.023474386119542622,0.001234831488890768,0.0031974951492328087,0.0010282453425466964,0.00025202695670441494
MSD,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6944088316805003,0.5572855160234857,0.01627062264420545,0.33510771764887015,0.31729129852107196,0.04200981551055811,0.5572855160234857,0.01627062264420545,0.2642878356149282,0.2502366437094407,0.03313168462297656,0.4395117602266657,0.012832075825988654,0.0005168021602879325,1.0,0.9411523483679245,40,equity (positief),0.03997452323022241,0.0012875662739130602,0.002151320216700938,0.001435333821237672,0.00019844534480664835
Avery Dennison,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6942832849782098,0.597936408917267,-0.045010108663177034,0.22827714251310566,0.4410260621658601,0.024980080299244076,0.597936408917267,-0.045010108663177034,0.17070898515447414,0.32980573819249415,0.018680469319070827,0.44714558991519343,0.033659217418767325,0.005715245882152775,1.0,0.9382774937597227,40,equity (positief),0.02723085579867337,0.001381487104779009,0.0029902751448017046,0.0008534851599556942,-0.0005489677149282235
IKEA,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6920206727482962,0.6918074296890522,-0.009891629304071753,0.30637689866315876,0.3897020714532527,-0.004058297368115249,0.6918074296890522,-0.009891629304071753,0.2191885208399923,0.2788011138660659,0.0,0.49493368423437956,0.007076681059562287,0.003450676400555741,1.0,0.9077952642375547,40,equity (positief),0.03654726467877643,0.001598369038668081,0.0026422847040412545,-0.00013865834444409017,-0.00012064367977000202
Bibliotheken openbare,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6858096578305317,0.38592146617251016,-0.04254925396509765,0.27615399516380856,0.37111404310697427,0.03854161955974887,0.38592146617251016,-0.04254925396509765,0.2478316953470616,0.33305265931694034,0.034588798584094686,0.34634143596446315,0.0381854107874403,0.004396456202086174,1.0,0.9519756759933411,40,equity (positief),0.03294201748693033,0.0008916425242278559,0.0025162528797953616,0.0013168372535575558,-0.0005189537953777421
Rail & Openbaar Vervoer,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6826850717558574,0.2851212163105031,-0.10797825061683207,0.2697625522065232,0.41341696797900174,-0.0004944484296674559,0.2851212163105031,-0.10797825061683207,0.2506437043151485,0.38411691850270263,0.0,0.2649138557237343,0.1003255214584147,0.004088041546985277,1.0,0.9355484241010169,40,equity (positief),0.032179591342993065,0.0006587511276410113,0.002803078071431462,-1.6893636530757698e-05,-0.0013169613507634957
Vopak,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6814626432719538,0.2977319899305529,-0.026655086138178408,0.23409107707780946,0.41988426460947254,0.0274873015846718,0.2977319899305529,-0.026655086138178408,0.23272967380380796,0.4174423440558282,0.02732744370867766,0.29600047025485116,0.0265000681768349,-0.001772673405794678,1.0,0.954342940850645,40,equity (positief),0.027924391787478218,0.0006878873716923359,0.00284692807946315,0.0009391484618427725,-0.000325099897847212
Kring D (De Nationale),gemiddeld risky profiel,gemiddeld durationprofiel,"negatieve alpha-puntinschatting, niet significant na Holm",0.680602748952499,0.39289504575361206,-0.14647974003980843,0.235421914211368,0.390008884950117,0.05517194979101399,0.39289504575361206,-0.14647974003980843,0.1929723355605876,0.3196853006242798,0.04522374242121144,0.3220510497641573,0.12006757162976388,-0.024724265880043617,1.0,0.9354741594265279,18,equity (positief),0.02808314545714697,0.0009077544553994121,0.0026443649819487716,0.001885039592682016,-0.001786546412822144
Brocacef,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6740787380874695,0.37417001473129186,-0.16859282428599748,0.2778145720839895,0.33868536129177607,0.05757880471170397,0.37417001473129186,-0.16859282428599748,0.22830792217422088,0.2783315163323174,0.047318242403174365,0.3074927926292243,0.13854952646106303,-0.006609206930559108,1.0,0.9529440673528196,40,equity (positief),0.03314010534696851,0.0008644916794450856,0.0022963777079416815,0.001967273714124668,-0.002056249590379166
Pensioenkring Ballast Nedam (Stap),gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6734748124997652,0.3347339277268645,-0.17205119125308374,0.24852409539182352,0.42128205375018557,0.003668663357756104,0.3347339277268645,-0.17205119125308374,0.2105672562146919,0.35694006253522187,0.003108352033231048,0.28361034616095326,0.14577398305590197,0.0010695936034956777,1.0,0.9818335788687658,24,equity (positief),0.02964608602336066,0.0007733775662265717,0.0028564054652317396,0.00012534586339231322,-0.0020984297109718944
Kring CK1 (Hnp),gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6689641483577122,0.6917586632592251,0.017308181011936458,0.21708782852600783,0.4044789399130733,0.04739737991863119,0.6917586632592251,0.017308181011936458,0.15753479398302123,0.29351947966093833,0.03439500284983509,0.5019906424162167,0.012560081089988833,-0.00578010487162639,1.0,0.9502201688997617,32,equity (positief),0.025896098440514975,0.0015982563674994624,0.0027424758407201297,0.0016194087407540437,0.00021109996980434202
Verloskundigen,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.66798032544772,0.5838410356335654,0.04684591746744482,0.1977493030457264,0.45261397236059847,0.017617050041395153,0.5838410356335654,0.04684591746744482,0.15227095216159803,0.3485218884288805,0.013565483886744516,0.44956937414024306,0.03607230138253384,-0.004659814319055711,1.0,0.9158261110522071,40,equity (positief),0.023589233228715326,0.0013489208048546727,0.003068844288006872,0.0006019152297513877,0.0005713582355080702
Roeiers in het Rotterdamse havengebied,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.667730467843233,0.19717574425142778,-0.09873491525555224,0.23272281984684212,0.4515368475322491,-0.016529199535858297,0.19717574425142778,-0.09873491525555224,0.23743099894299527,0.46067181911816113,0.0,0.2011647760015757,0.10073240593726783,0.007287663076542161,1.0,0.9646933065751124,40,equity (positief),0.0277611743275881,0.0004555597284196172,0.003061541092394703,-0.0005647470440768963,-0.0012042246157875959
Mediahuis Nederland,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6619380599595434,0.39196486281186826,0.018010906749107297,0.24156808576436348,0.3939544325756323,0.02641554161954765,0.39196486281186826,0.018010906749107297,0.22536147879761945,0.3675243491837896,0.024643344354801047,0.3656682580419727,0.01680256962181728,0.0006462370725082156,1.0,0.9656582181786565,40,equity (positief),0.028816313523958213,0.0009056053376672583,0.0026711168544781842,0.0009025300357084187,0.0002196707943060729
Cap Gemini Nederland,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6612745578320285,0.6189137438151779,-0.029546216436808853,0.21848018145738746,0.437427537760139,0.005366838614502004,0.6189137438151779,-0.029546216436808853,0.16681257036502162,0.33398183503634243,0.0040976537919707925,0.4725490053668087,0.02255893543985649,0.00013479084820722242,1.0,0.9400205514284774,40,equity (positief),0.026062190242251464,0.0014299536594525588,0.0029658761829001214,0.00018336678899680118,-0.0003603616921582609
Kring Sligro (Achmea),gemiddeld risky profiel,hoog duration/rentegevoelig,"positieve alpha-puntinschatting, niet significant na Holm",0.660073846133572,0.6316168517892895,-0.18811560480640166,0.17458736568265731,0.5305307405592776,-0.045044260108362925,0.6316168517892895,-0.18811560480640166,0.11449473800092519,0.34792310373811447,0.0,0.4142155744192405,0.12336658384171982,0.0268043507649951,1.0,0.929585556612933,21,equity (positief),0.02082627864899682,0.0014593032350849044,0.0035971409019610896,-0.001539010566945031,-0.0022943600177840985
Kring Bavaria (Achmea),gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.660033953593263,0.43063136770220517,0.06950330765241422,0.13958170100106737,0.4916243757993278,0.028827876792867926,0.43063136770220517,0.06950330765241422,0.120311562921374,0.4237525162571972,0.024848005775687063,0.37117997932139407,0.05990793572434759,0.00021783258941088235,1.0,0.9429759049971849,31,equity (positief),0.016650502675165525,0.0009949413892878678,0.003333345300075517,0.0009849513989147775,0.000847700063721774
Geveke,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6549007920953859,0.05771220999554775,-0.024901531937634433,0.14580318489657518,0.4731944095656687,0.03590319763314193,0.05771220999554775,-0.024901531937634433,0.19769533774493372,0.6416068941460878,0.04868134250456846,0.07825230193133012,0.033764123673079856,-0.00833587623960319,1.0,0.9394889516160657,40,equity (positief),0.01739265464424677,0.00013333972092704433,0.0032083851794028314,0.0012266912679127907,-0.0003037125990588632
Delta Lloyd,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6543715609956988,0.5511862746899048,0.14327010670251358,0.1448179697161378,0.489815071931966,0.019738519347594928,0.5511862746899048,0.14327010670251358,0.1073657841486704,0.3631412551142306,0.014633830399930497,0.4086409076861371,0.10621822265103141,0.004456506936314053,1.0,0.9493058768543053,32,equity (positief),0.0172751297260101,0.0012734744355074764,0.003321077733942587,0.0006743986865078418,0.0017473999825809374
TDV,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6526728388028379,0.17979095878529028,-0.1423352713575575,0.31717254150596674,0.23503101590263953,0.10046928139423157,0.17979095878529028,-0.1423352713575575,0.3253722245026468,0.24110714032261257,0.10306665711416428,0.18443899313501289,0.14601498492556336,-0.0076672274897275905,1.0,0.9477395616654576,40,equity (positief),0.03783506156579768,0.000415393489029198,0.0015935734084731867,0.0034326967597451733,-0.0017359982233229215
UWV,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6488968089147416,0.3548710988111611,0.08064687180014371,0.15390551013936585,0.46457731314587797,0.03041398562949771,0.3548710988111611,0.08064687180014371,0.1419249470268486,0.42841293010496023,0.02804645067894632,0.3272466453899317,0.07436902679931306,0.005461369600047394,1.0,0.93681845343464,40,equity (positief),0.018359169503734805,0.0008199029855935894,0.0031499589514427033,0.0010391433926122146,0.0009836130203447794
Abbott Nederland,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.645432656137669,0.7572379158058938,-0.05425837414393572,0.1891788011355547,0.46076093695332393,-0.004507081951209614,0.7572379158058938,-0.05425837414393572,0.12944719953937253,0.3152795798880634,0.0,0.5181464677739813,0.03712675279858272,0.008588143759455713,1.0,0.9195420894442379,40,equity (positief),0.022566870240161876,0.001749541256117622,0.003124082895919446,-0.00015399180122643424,-0.0006617645803171574
KLM-Cabinepersoneel,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6452182384443415,0.30510218707979975,-0.17097116656682845,0.35890271465721413,0.2403882800775487,0.04592724370957855,0.30510218707979975,-0.17097116656682845,0.3200797341108544,0.2143851624083579,0.04095923311431778,0.2720988806407165,0.1524769897257534,-0.012087944419531316,1.0,0.9520318664182191,40,equity (positief),0.04281299459503231,0.000704915657927323,0.0016298970983424327,0.0015691791409085253,-0.0020852571437044733
SNS Reaal Groep,gemiddeld risky profiel,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.6448706932424333,0.5882059735353142,0.05535216895162561,0.15076884879193142,0.5066586799816125,-0.012556835531110628,0.5882059735353142,0.05535216895162561,0.1158881701178586,0.38944216771482726,0.0,0.4521233296639002,0.04254633250341385,-0.003422824282705128,1.0,0.935323594412824,39,equity (positief),0.01798500163085478,0.0013590056656099267,0.0034352819200904293,-0.0004290247530602057,0.0006751050954594617
Waterbouw BPF,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6448384728244106,0.16699699597064263,-0.2421443280004038,0.40797376447268857,0.21091705398557403,0.025947654366148022,0.16699699597064263,-0.2421443280004038,0.3870793023861565,0.20011489273973826,0.024618739794671423,0.15844420972620527,0.22974285535322841,-0.0030882565203272927,1.0,0.9561069059767567,39,equity (positief),0.048666610365336545,0.0003858340001205649,0.0014300742705556234,0.0008865439050585066,-0.00295332365047059
Personeelspensioenfonds APG,gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6398335668163024,0.32414886892546213,-0.13275537097761841,0.3444067045848972,0.16057312783004196,0.13485373440136325,0.32414886892546213,-0.13275537097761841,0.31402829598361687,0.14640976799218433,0.12295895479772372,0.2955573036139535,0.12104567761252157,-0.0156823912224755,1.0,0.9288657949390885,40,equity (positief),0.04108378616185457,0.0007489215839191149,0.0010887289307012988,0.004607497642017313,-0.001619156558705532
"Schilders-, Afwerkings- en Glaszetbedrijf",gemiddeld risky profiel,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6386486341504255,0.33693063816771457,-0.029958659662864484,0.3828737421036197,0.1513850154833919,0.10438987656341393,0.33693063816771457,-0.029958659662864484,0.38076509092931216,0.15055127277510968,0.10381495639628038,0.335075015523213,0.029793664376084848,-0.00879498652939703,1.0,0.9358560730646898,39,equity (positief),0.04567246438054373,0.000778452900495751,0.0010264310614032694,0.0035666502841136434,-0.00036539207360078825
Huisartsen,gemiddeld risky profiel,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.6327382213216132,0.29738899647266726,-0.025243165389982974,0.21656127810938067,0.3874195658183099,0.0287573773939226,0.29738899647266726,-0.025243165389982974,0.22667782246669482,0.4055176637641151,0.03010076290838517,0.3112813644918167,0.026422386368988263,-0.009679895384788972,1.0,0.9389917746770544,40,equity (positief),0.025833286989889417,0.0006870949111028384,0.002626808702839601,0.000982542672038609,-0.0003078793460685689
