fund,risk_exposure_profile,duration_profile,alpha_interpretation,broad_risky_beta,interest_rate_beta,currency_beta,beta_equity,beta_credit,beta_real_estate,beta_duration,beta_fx,loading_share_equity,loading_share_credit,loading_share_real_estate,loading_share_duration,loading_share_fx_abs,alpha_annualized,p_alpha_holm,r2,n_obs,largest_average_factor_contribution,avg_annualized_simple_contribution_equity,avg_annualized_simple_contribution_duration,avg_annualized_simple_contribution_credit,avg_annualized_simple_contribution_real_estate,avg_annualized_simple_contribution_fx
Calpam,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9602675488510628,0.09352492475436647,0.14837764164980763,0.1745068058245644,0.7654570960672489,0.02030364695924941,0.09352492475436647,0.14837764164980763,0.14515982689148305,0.6367294331757133,0.016889162940919283,0.07779674737173937,0.12342482962014495,-0.004504835113454564,1.0,0.9252663298222668,40,equity (positief),0.020816668778053375,0.00021608230506910234,0.005190004684850508,0.0006937071924954267,0.0018096942509621624
Kring SVG (Stap),hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9524878883191026,0.22185393735170006,-0.09595417940971679,0.3069396061629564,0.6025338369151546,0.043014445240991565,0.22185393735170006,-0.09595417940971679,0.24162841175234634,0.47432553869754335,0.03386174959927158,0.17464743371970026,0.07553686623113846,-0.007595853088343096,1.0,0.9595942610688659,33,equity (positief),0.03661438925645044,0.0005125768376453403,0.00408534123262719,0.00146965863348422,-0.0011703092521404925
AT&T Nederland,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9503216228011513,0.20969284107517822,0.01886598695474226,0.2910540082020669,0.6279973862126027,0.03127022838648159,0.20969284107517822,0.01886598695474226,0.24689018127061438,0.5327065910456699,0.026525360026487088,0.1778745596530604,0.01600330800416816,-0.01698571155665629,1.0,0.9400921141682628,40,equity (positief),0.03471941885956172,0.0004844795392780895,0.00425799093543309,0.0010683983220460245,0.00023009981659705456
Campina,hoog risky/rendementsgevoelig,laag durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9368146151806759,0.26303426371941535,-0.05865752266777624,0.2504580128491973,0.6218841476394311,0.06447245469204757,0.26303426371941535,-0.05865752266777624,0.1990121087482532,0.49414460416306016,0.051229341870432085,0.2090051058872033,0.04660883933105128,-0.004163020030683029,1.0,0.9655645747596957,40,equity (positief),0.029876780287484184,0.0006077208847365775,0.004216541536116812,0.0022028065020769216,-0.0007154189833943557
Zuivel en aanverwante industrie,hoog risky/rendementsgevoelig,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.9316062121050179,0.7051747254505147,0.0004576253706025102,0.19007582227058228,0.8272996251711981,-0.08576923533676249,0.7051747254505147,0.0004576253706025102,0.11031628670642869,0.4801485089070782,0.0,0.409269607578943,0.0002655968075500755,-0.003137149474814027,1.0,0.9136111966463901,40,equity (positief),0.022673874616103266,0.001629253170232618,0.005609313640795313,-0.002930445725704473,5.581447400467329e-06
Pon,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9267466444940282,0.3281080302645162,-0.28870862144780685,0.47495206689118197,0.5008756063807785,-0.04908102877793227,0.3281080302645162,-0.28870862144780685,0.29821602943009196,0.3144930720082284,0.0,0.2060146293289646,0.18127626923271514,-0.017952373361424745,1.0,0.864648503571268,40,equity (positief),0.05665635684069037,0.0007580689284428359,0.003396071127956723,-0.0016769333483123827,-0.003521247046576068
Coram,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.9144721245495442,0.34147541135082116,-0.2439331128177706,0.338166109176252,0.5438213798535569,0.03248463551973524,0.34147541135082116,-0.2439331128177706,0.22546201223761614,0.3625764358773017,0.021658146964892197,0.22766838924327817,0.16263501567691174,-0.012593967451118182,1.0,0.9720346796469952,39,equity (positief),0.040339354407541175,0.0007889532571440043,0.0036872550057513143,0.0011098905211887028,-0.0029751406409834684
Molenaarspensioenfonds,hoog risky/rendementsgevoelig,hoog duration/rentegevoelig,alpha rond nul / geen sterk residueel signaal,0.90148364467157,0.6498574040801741,-0.12520102965708924,0.37286705921074315,0.5449718209867463,-0.016355235525919463,0.6498574040801741,-0.12520102965708924,0.2202537957509655,0.32191664343780185,0.0,0.3838729016408734,0.07395665917035929,-0.0055675082391057895,1.0,0.9250132462028602,40,equity (positief),0.044478781404319656,0.0015014466593656476,0.003695055305600351,-0.0005588032801229562,-0.0015270197117684902
Forbo,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8973157011751152,0.43455380498617024,-0.03164379749449511,0.21220947020067024,0.6595106269378643,0.02559560403658051,0.43455380498617024,-0.03164379749449511,0.1556343232088057,0.48368477606314425,0.018771803669208737,0.3187015512214419,0.023207545837399177,-0.0013414664544808552,1.0,0.9478845302984876,40,equity (positief),0.025314166011235952,0.0010040038856441516,0.004471659170843322,0.0008745155317208726,-0.00038594492922022343
Particuliere Beveiliging,hoog risky/rendementsgevoelig,gemiddeld durationprofiel,alpha rond nul / geen sterk residueel signaal,0.8920970193633274,0.4935371840763394,-0.07389378678337888,0.3220199250476098,0.6374323636586063,-0.06735526934288875,0.4935371840763394,-0.07389378678337888,0.21090016085391775,0.41747288776996416,0.0,0.32323177360438365,0.048395177771734535,0.004233178534350124,1.0,0.9041376358501241,40,equity (positief),0.03841329905716529,0.0011402805471655863,0.004321962616403587,-0.002301302563495518,-0.0009012487301780615
