fund,year,asset_management_costs,transaction_costs,ter_annual,ter_quarterly,source_type,confidence,notes,dnb_reporter,source_asset_management_post,source_transaction_post
Dierenartsen,2017,0.0043,0.0005,0.0048,0.0011978460281132364,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dierenartsen,2018,0.0043,0.0013,0.0056,0.001397069567179221,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dierenartsen,2019,0.0045,0.0009,0.0054,0.001347274829472056,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dierenartsen,2020,0.0042,0.001,0.0052,0.001297472662116883,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dierenartsen,2021,0.0039,0.0007,0.0046,0.0011480215562862384,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dierenartsen,2022,0.0043,0.0015,0.0058,0.0014468568778243096,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dierenartsen,2023,0.0043,0.0008,0.0051,0.0012725687915129402,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dierenartsen,2024,0.0044,0.0005,0.0049,0.001222755474834747,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dierenartsen,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2015,0.0058,0.0016,0.0073999999999999,0.0018448882985671045,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2016,0.0049,0.0014,0.0063,0.0015712926779962721,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2017,0.0051,0.0012,0.0063,0.0015712926779962721,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2018,0.0055,0.0013,0.0068,0.0016956821155187374,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2019,0.0054,0.0016,0.007,0.0017454249180117731,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2020,0.0034999999999999,0.0012,0.0046999999999999,0.0011729347220381658,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2021,0.0037,0.001,0.0047,0.0011729347220381658,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2022,0.0033,0.0014,0.0047,0.0011729347220381658,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2023,0.0021,0.0032,0.0053,0.001322374674662008,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Dow,2024,0.0022,0.0005,0.0027,0.0006743176369199411,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Dow,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2015,0.0018,0.0002,0.002,0.0004996254368994091,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2016,0.0016,0.0,0.0016,0.00039976022375398657,dnb_annual_wide_xlsx,0.7,Extracted from DNB annual wide Excel; check match/transaction costs.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2017,0.0014,0.0,0.0014,0.00034981639991826796,dnb_annual_wide_xlsx,0.7,Extracted from DNB annual wide Excel; check match/transaction costs.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2018,0.002,0.0008,0.0028,0.0006992661981939374,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2019,0.0017,0.0,0.0017,0.00042472933086612485,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2020,0.0023,0.0002,0.0025,0.000624414915526339,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2021,0.0029,0.0002,0.0031,0.0007741006882311385,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2022,0.0034,0.0,0.0034,0.0008489183944260237,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2023,0.0029,0.0001,0.0029999999999999,0.0007491577235239077,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Ecolab,2024,0.0033,0.0001,0.0034,0.0008489183944260237,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ecolab,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Essity,2018,0.0040999999999999,0.0007,0.0048,0.0011978460281132364,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Essity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Essity,2019,0.004,0.0015,0.0055,0.00137217312686988,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Essity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Essity,2020,0.004,0.0012,0.0052,0.001297472662116883,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Essity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Essity,2021,0.0048,0.0006,0.0053999999999999,0.001347274829471834,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Essity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Essity,2022,0.0049,0.001,0.0059,0.001471747748806207,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Essity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Essity,2023,0.0054,0.0007,0.0061,0.0015215239237034162,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Essity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Essity,2024,0.0051,0.0004,0.0055,0.00137217312686988,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Essity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2015,0.0049,0.0009,0.0058,0.0014468568778243096,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2016,0.0045,0.0008,0.0053,0.001322374674662008,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2017,0.0048,0.0006,0.0053999999999999,0.001347274829471834,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2018,0.0046999999999999,0.0005,0.0052,0.001297472662116883,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2019,0.0046999999999999,0.0008,0.0055,0.00137217312686988,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2020,0.0042,0.0013,0.0055,0.00137217312686988,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2021,0.004,0.0004,0.0044,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2022,0.004,0.0003,0.0043,0.0010732708977265748,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2023,0.0042,0.001,0.0052,0.001297472662116883,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Flexsecurity,2024,0.0040999999999999,0.0003,0.0043999999999999,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Flexsecurity,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2015,0.0036,0.0011,0.0047,0.0011729347220381658,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2016,0.0036,0.0008,0.0044,0.001098189644454406,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2017,0.0031,0.0005,0.0036,0.0008987875452020067,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2018,0.0031,0.0008,0.0039,0.0009735772978352042,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2019,0.0027,0.0007,0.0034,0.0008489183944260237,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2020,0.0027,0.001,0.0037,0.0009237193255591247,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2021,0.0028,0.0007,0.0035,0.0008738539015993307,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2022,0.0029,0.0009,0.0037999999999999,0.0009486492429950921,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2023,0.0031,0.0006,0.0036999999999999,0.0009237193255589027,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Forbo,2024,0.0029,0.0007,0.0036,0.0008987875452020067,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Forbo,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2015,0.0051,0.0012,0.0063,0.0015712926779962721,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2016,0.0064,0.0013,0.0077,0.0019194663977399884,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2017,0.0062,0.0014,0.0076,0.001894608881776838,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2018,0.0068,0.0017,0.0085,0.002118259952441637,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2019,0.0065,0.0015,0.008,0.001994027846918156,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2020,0.0063,0.0011,0.0074,0.0018448882985671045,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2021,0.0085,0.0011,0.0096,0.002391408066947376,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2022,0.0074,0.0014,0.0088,0.0021927770440064442,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2023,0.0070999999999999,0.0009,0.008,0.001994027846918156,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Fysiotherapeuten,2024,0.0074,0.0009,0.0083,0.0020685726547728933,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Fysiotherapeuten,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2015,0.0019,0.0007,0.0026,0.0006493672094727287,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2016,0.0019,0.0009,0.0028,0.0006992661981939374,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2017,0.0018,0.0009,0.0027,0.0006743176369199411,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2018,0.0021,0.0009,0.003,0.0007491577235239077,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2019,0.0021,0.0024,0.0045,0.0011231065305328247,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2020,0.0019,0.0021,0.004,0.000998503490403868,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2021,0.0016,0.0004,0.002,0.0004996254368994091,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2022,0.0018,0.0006,0.0024,0.0005994607547548103,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2023,0.002,0.0007,0.0027,0.0006743176369199411,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gasunie,2024,0.0021,0.0004,0.0025,0.000624414915526339,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gasunie,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gazelle psf,2020,0.0049,0.0016,0.0065,0.0016210540142660435,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gazelle psf,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gazelle psf,2021,0.0046999999999999,0.0012,0.0058999999999999,0.001471747748806207,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gazelle psf,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gazelle psf,2022,0.0053,0.002,0.0073,0.001820025230677702,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gazelle psf,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gazelle psf,2023,0.0051,0.0026,0.0077,0.0019194663977399884,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gazelle psf,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Gazelle psf,2024,0.004,0.001,0.005,0.0012476630625266605,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Gazelle psf,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2015,0.0034,0.0021,0.0055,0.00137217312686988,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ring Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2016,0.0037,0.0012,0.0049,0.001222755474834747,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ring Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2017,0.0052,0.0022,0.0074,0.0018448882985671045,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ring Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2018,0.0049,0.0007,0.0056,0.001397069567179221,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ring Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2019,0.0044,0.0013,0.0057,0.001421964150722932,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Ring Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2020,0.0043,0.0011,0.0054,0.001347274829472056,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2021,0.0054,0.0011,0.0065,0.0016210540142660435,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2022,0.0053,0.0014,0.0067,0.0016708079350917782,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2023,0.0058,0.0022,0.008,0.001994027846918156,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Geveke,2024,0.0053,0.0008,0.0061,0.0015215239237034162,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Geveke,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2015,0.0044,0.001,0.0054,0.001347274829472056,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2016,0.0048,0.0009,0.0056999999999999,0.001421964150722932,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2017,0.0042,0.0017,0.0059,0.001471747748806207,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2018,0.0046,0.0012,0.0058,0.0014468568778243096,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2019,0.0034999999999999,0.0014,0.0049,0.001222755474834747,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2020,0.0033,0.0019,0.0052,0.001297472662116883,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2021,0.0031,0.0015,0.0046,0.0011480215562862384,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2022,0.0024,0.0011,0.0034999999999999,0.0008738539015993307,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Grolsche bierbrouwerij,2023,0.0029,0.001,0.0039,0.0009735772978352042,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Grolsche bierbrouwerij,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Groothandel,2015,0.0022,0.0005,0.0027,0.0006743176369199411,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Groothandel,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
Groothandel,2016,0.0022,0.0005,0.0027,0.0006743176369199411,dnb_annual_wide_xlsx,0.95,Extracted from DNB annual wide Excel.,Groothandel,Kosten vermogensbeheer als percentage van het gemiddeld belegd vermogen,Transactiekosten als percentage van het gemiddeld belegd vermogen
